Rk,Name,TeamName,PA,AB,H,2B,3B,HR,SO,BB,HBP,SH,SF,GDP
1,佐藤輝明,T,229,199,73,17,3,15,55,28,0,0,2,2
2,丸山和郁,S,82,81,29,5,1,2,13,1,0,0,0,0
3,古賀悠斗,L,90,76,26,2,0,2,19,9,0,4,1,3
4,牧秀悟,DB,97,83,28,5,0,2,15,11,2,0,1,1
5,ネビン,L,108,92,31,6,0,10,21,9,4,0,3,2
6,大城卓三,G,112,100,33,7,1,4,28,12,0,0,0,3
7,正木智也,H,79,69,22,5,0,3,18,8,2,0,0,1
8,西川史礁,M,238,219,68,11,0,5,40,14,5,0,0,5
9,勝又温史,DB,123,120,37,5,0,0,22,2,1,0,0,0
10,板山祐太郎,D,87,79,24,5,1,4,18,6,1,0,1,3
11,庄子雄大,H,88,69,21,1,1,0,20,13,1,4,1,0
12,レイエス,F,223,204,62,11,0,10,38,17,1,0,1,8
13,小川龍成,M,185,171,52,3,1,0,30,5,3,6,0,0
14,桑原将志,L,131,116,35,5,3,2,13,12,2,1,0,2
15,度会隆輝,DB,202,187,56,10,0,4,27,12,2,1,0,7
16,藤原恭大,M,153,128,38,6,0,2,27,17,7,0,1,3
17,近藤健介,H,229,186,55,16,0,9,33,37,4,0,2,1
18,太田椋,Bs,161,139,41,11,1,3,31,20,1,0,1,7
19,辰己涼介,E,229,198,58,8,1,5,47,26,3,1,1,8
20,平沢大河,L,136,123,36,9,0,2,23,11,1,1,0,0
21,田宮裕涼,F,150,137,40,6,2,2,27,7,0,6,0,2
22,岸田行倫,G,100,89,26,1,0,2,13,6,0,3,2,2
23,平山功太,G,83,79,23,3,1,2,16,3,1,0,0,0
24,水野達稀,F,213,187,54,13,2,1,36,14,5,4,3,2
25,阿部寿樹,D,69,59,17,3,0,1,17,7,1,1,1,3
26,増田珠,S,139,118,34,5,0,4,23,17,2,0,2,3
27,渡邊佳明,E,79,70,20,3,0,1,14,5,0,4,0,1
28,滝澤夏央,L,169,140,40,2,1,1,20,20,2,7,0,4
29,佐藤直樹,E,108,105,30,7,1,5,33,2,0,0,1,2
30,村林一輝,E,222,200,57,6,1,4,32,17,1,3,1,10
31,中川圭太,Bs,186,169,48,7,1,3,20,14,1,0,2,1
32,森下翔太,T,235,210,59,12,1,14,31,18,5,0,2,11
33,石川昂弥,D,67,64,18,5,0,3,15,3,0,0,0,1
34,平良竜哉,E,102,93,26,1,0,8,12,5,3,1,0,2
35,友杉篤輝,M,168,154,43,5,1,0,28,9,0,5,0,3
