Rk,Name,TeamName,PA,AB,H,2B,3B,HR,SO,BB,HBP,SH,SF,GDP
1,牧秀悟,DB,108,94,34,7,0,4,17,11,2,0,1,1
2,佐藤輝明,T,237,205,74,18,3,15,56,30,0,0,2,2
3,丸山和郁,S,82,81,29,5,1,2,13,1,0,0,0,0
4,古賀悠斗,L,95,79,27,3,0,2,19,11,0,4,1,3
5,大城卓三,G,118,106,34,7,1,5,28,12,0,0,0,3
6,正木智也,H,96,82,26,6,0,4,22,11,3,0,0,2
7,ネビン,L,121,105,33,7,0,11,24,9,4,0,3,2
8,西川史礁,M,252,230,72,13,0,5,42,17,5,0,0,6
9,レイエス,F,236,216,67,13,0,12,38,18,1,0,1,8
10,勝又温史,DB,125,122,37,5,0,0,22,2,1,0,0,0
11,桑原将志,L,145,129,39,5,4,2,17,13,2,1,0,2
12,山中稜真,Bs,50,43,13,2,0,0,3,5,1,0,1,2
13,阿部寿樹,D,71,60,18,3,0,1,17,8,1,1,1,3
14,藤原恭大,M,153,128,38,6,0,2,27,17,7,0,1,3
15,太田椋,Bs,174,149,44,14,1,3,33,23,1,0,1,7
16,近藤健介,H,232,188,55,16,0,9,33,37,5,0,2,1
17,小川龍成,M,200,185,54,3,2,0,32,6,3,6,0,0
18,赤羽由紘,S,75,72,21,4,0,2,21,3,0,0,0,1
19,辰己涼介,E,237,206,60,8,1,5,50,26,3,1,1,8
20,平山功太,G,83,79,23,3,1,2,16,3,1,0,0,0
21,平良竜哉,E,110,100,29,1,0,8,13,6,3,1,0,2
22,度会隆輝,DB,216,200,58,10,0,5,30,13,2,1,0,8
23,岸田行倫,G,110,97,28,1,0,2,18,6,1,4,2,2
24,鵜飼航丞,D,100,97,28,4,0,4,28,2,1,0,0,2
25,平沢大河,L,139,125,36,9,0,2,23,11,2,1,0,0
26,田宮裕涼,F,154,140,40,6,2,2,29,7,0,7,0,2
27,名原典彦,C,65,63,18,1,3,1,6,1,0,1,0,0
28,増田珠,S,144,123,35,5,0,4,23,17,2,0,2,3
29,村林一輝,E,230,208,59,6,1,4,35,17,1,3,1,11
30,水野達稀,F,223,197,56,13,2,2,38,14,5,4,3,3
31,友杉篤輝,M,180,166,47,5,1,0,30,9,0,5,0,4
32,佐藤直樹,E,113,110,31,7,1,5,35,2,0,0,1,2
33,牧原大成,H,207,185,52,11,0,0,38,13,1,5,3,0
