シーズン,ゲームタイプ,球団,#,名前,守備位置,試合,打席,打数,打率,出塁率,長打率,OPS,得点,打点,安打,一塁打,二塁打,三塁打,本塁打,塁打,盗塁,盗塁刺,四球,故意四,三振,併殺,死球,犠打,犠飛,PlayerID
2025,公式戦,広島東洋カープ,34,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01005134"">高橋　昂也</a>",投,24,2,2,0.500,0.500,1.000,1.500,0,2,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,01005134
2025,クライマックスシリーズファイナルステージ,福岡ソフトバンクホークス,16,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01005137"">東浜　巨</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01005137
2025,公式戦,福岡ソフトバンクホークス,16,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01005137"">東浜　巨</a>",投,7,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01005137
2025,公式戦,埼玉西武ライオンズ,49,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01005153"">佐々木　健</a>",投,15,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01005153
2025,公式戦,千葉ロッテマリーンズ,35,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01005157"">田中　晴也</a>",投,13,5,5,0.200,0.200,0.200,0.400,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,01005157
2025,公式戦,東京ヤクルトスワローズ,65,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01005159"">鈴木　叶</a>",捕,2,6,6,0.333,0.333,0.333,0.666,0,1,2,2,0,0,0,2,0,1,0,0,1,0,0,0,0,01005159
2025,公式戦,北海道日本ハムファイターズ,52,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01105134"">池田　隆英</a>",投,24,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01105134
2025,公式戦,千葉ロッテマリーンズ,23,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01105135"">石川　慎吾</a>",指,14,36,35,0.086,0.111,0.114,0.225,2,3,3,2,1,0,0,4,0,0,1,0,11,0,0,0,0,01105135
2025,公式戦,読売ジャイアンツ,63,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01105138"">泉　圭輔</a>",投,10,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01105138
2025,公式戦,福岡ソフトバンクホークス,55,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01105151"">石塚　綜一郎</a>",左,24,60,55,0.236,0.300,0.309,0.609,4,6,13,9,4,0,0,17,0,0,1,0,17,2,4,0,0,01105151
